hotel_name,review_text,vader_compound,vader_label,sentiwordnet,afinn_score
ÇALCALAR OTEL,room wonderful immaculate car close akyaka dirty boutique akyaka stay immaculate hotel arrive hotel akyaka within car staff friendly especially melda lady realize sick voice immediately make hot mixture bring table thank thank melda lady place prefer place stay long road fall muğla certain,0.7783,positive,"{'positivity': 4.125, 'negativity': 2.125, 'objectivity': 31.75}",7.0
ÇALCALAR OTEL,look accommodation around akyaka find place stay night stay family room stay family room say person narrow cleanliness smile face employee quick response request really nice air clean air clean comfortable sleep away akyaka breakfast include breakfast good summarize business successful clean employee,0.9735,positive,"{'positivity': 3.5, 'negativity': 0.75, 'objectivity': 36.75}",19.0
ÇALCALAR OTEL,nice clean room food great problem restaurant chimney next balcony sound disturb smell food balcony penetrate inside pity stay room number,0.5106,positive,"{'positivity': 0.375, 'negativity': 2.125, 'objectivity': 18.5}",2.0
ÇALCALAR OTEL,stay family room night hotel beautiful clean new indescribably shine brightly could see defect decoration room spotless room clean employee deserve thank hotel location main road fuel station right across hotel hotel restaurant cafe market service area serve night dinner hotel price normal product really delicious balcony beautiful extremely satisfy family recommend,0.9773,positive,"{'positivity': 5.625, 'negativity': 0.5, 'objectivity': 44.875}",16.0
ÇALCALAR OTEL,hotel locate road road junction fethiye datça marmaris locate road supermarket hotel find everything look supermarket next supermarket sell honey honey market stay family room room spacious spacious clean room spacious minibar leave water also tea coffee setup enough closet hanger bathroom soap shower jel conditioner conditioner room slipper room breakfast delicious product offer really high quality lady serve breakfast friendly professional lady dinner choose place kitchen team really good job kitchen team really good job delicious presentation good product price expensive menu day take dinner stay overnight go marmaris akyaka bozburun datça day trip datça take hour large parking lot front con mosquito net balcony door enough hanger bath towel understand table put right front ramp use take wheelchair wheeled suitcase entrance hotel although shortage space table put although shortage space understand table put ear cotton put bathroom,0.9622,positive,"{'positivity': 5.875, 'negativity': 0.375, 'objectivity': 120.75}",19.0
ÇALCALAR OTEL,not stay hotel although wish could rather eat çalcalar restaurant stumble upon restaurant chance actually look place playground antsy toddler saw playground immediately make turn make way arrive noticed restaurant open well go wild playground sit place food order not know expect restaurant locate far away major city people say lucky people restaurant magnificent food delicious portion size generous staff kind friendly surround beautiful green mountain drive way please stop enjoy delicious enjoyable meal restaurant regret thank çalcalar restaurant,0.9903,positive,"{'positivity': 7.625, 'negativity': 5.25, 'objectivity': 61.125}",28.0
ÇALCALAR OTEL,pleasant friendly staff wonderful clean apartment honey mention separately delicious,0.9485,positive,"{'positivity': 1.5, 'negativity': 0.125, 'objectivity': 8.375}",14.0
ÇALCALAR OTEL,know çalcalar hotel new clean friendly service two shop connect hotel one selling honey local product one grocery restaurant cafe downstairs need car get,0.7096,positive,"{'positivity': 1.25, 'negativity': 0.125, 'objectivity': 21.625}",4.0
ÇALCALAR OTEL,clean spacious room shower good water pressure room share balcony can not leave door open good breakfast okey restaurant price lot reasonable accommodation restaurant area mini fridge safe would stay,0.8897,positive,"{'positivity': 2.75, 'negativity': 0.75, 'objectivity': 25.5}",9.0
ÇALCALAR OTEL,wonderful restaurant even restaurant open food delicious kid also enjoy everything freshly prepare new build clean desert also chef welcome gesture wonderful place stay enjoy staff friendly helpful highly recommend everyone,0.9848,positive,"{'positivity': 3.875, 'negativity': 0.25, 'objectivity': 24.875}",25.0
Meltem Hanım Konağı butik otel ve Restoran,way fethiye hotel choose stop leave mind historical smell mansion convert mansion sleep comfortably room stay mansion lunch nice restaurant small place square lunch nice restaurant square appropriate liver yoğurt dinner liver yoğurt dinner hotel food nice drive akyaka short time pas car short time way fall would want go place stayed hotel none historical texture hotel penetrate,0.8442,positive,"{'positivity': 0.25, 'negativity': 0.375, 'objectivity': 52.375}",12.0
Meltem Hanım Konağı butik otel ve Restoran,boutique hotel room perfectly restore historical famous ula architecture house boutique hotel room perfectly design friendly excellent service understand kitchen beautiful delicious thank owner hotel mehmet interest,0.9843,positive,"{'positivity': 3.625, 'negativity': 0.0, 'objectivity': 21.375}",23.0
Meltem Hanım Konağı butik otel ve Restoran,bathroom small shower cabin break shower head broken decoration room toilet bathroom small breakfast bad hotel restaurant open customer stay hotel even noise restaurant night time come room condition expensive hotel,-0.765,negative,"{'positivity': 0.75, 'negativity': 1.0, 'objectivity': 29.25}",-4.0
Meltem Hanım Konağı butik otel ve Restoran,stay separate family date clean bed equipment hot water air condition air condition breakfast good authentic atmosphere accommodate peace mind,0.8442,positive,"{'positivity': 2.25, 'negativity': 0.0, 'objectivity': 17.75}",7.0
Meltem Hanım Konağı butik otel ve Restoran,wish continuation success place dinner love appetizer especially yoğurtlama price kitchen price price friendly staff especially atmosphere wish continue success labor price place neighborhood superb,0.9758,positive,"{'positivity': 2.875, 'negativity': 0.0, 'objectivity': 21.125}",16.0
Meltem Hanım Konağı butik otel ve Restoran,authentic delicious turkish food owner speak little english accomodating loved meze köfte even get baklava street room super cute cozy love stay definitely recommend stay eat,0.974,positive,"{'positivity': 2.5, 'negativity': 0.375, 'objectivity': 20.125}",16.0
Meltem Hanım Konağı butik otel ve Restoran,love vibe place village owner not speak english helpful try help every way could help room good clean mattress comfy toilet bit tight,0.9164,positive,"{'positivity': 2.375, 'negativity': 1.625, 'objectivity': 18.0}",14.0
Meltem Hanım Konağı butik otel ve Restoran,large serve delicious price good beautiful place,0.8885,positive,"{'positivity': 1.25, 'negativity': 0.0, 'objectivity': 5.75}",9.0
Meltem Hanım Konağı butik otel ve Restoran,super,0.5994,positive,"{'positivity': 0.0, 'negativity': 0.0, 'objectivity': 1.0}",3.0
Meltem Hanım Konağı butik otel ve Restoran,stun beautiful decor lovely,0.8271,positive,"{'positivity': 1.0, 'negativity': 0.125, 'objectivity': 2.875}",6.0
Mercan Apart Akyaka,room furniture price say close beach say far away torture go back forth heat road seclude creates fear bar open evening,-0.7184,negative,"{'positivity': 0.25, 'negativity': 1.5, 'objectivity': 19.25}",-6.0
Mercan Apart Akyaka,give one violet room mercan apart really nice room call form circle room give clean pink flower garden pink flower room sofa room big refrigerator room kitchen place comfortable think trouble drip sound air condition water night without forget second trouble internet apartment stay internet pull internet general telephone line breakfast food shop want without people stay next apartment burn barbecue comfortable result people behave nicely people work place go stay peace mind,0.9367,positive,"{'positivity': 2.375, 'negativity': 3.375, 'objectivity': 64.25}",8.0
Mercan Apart Akyaka,pharmacist asthma definitely stay akyaka way muğla choose hotel agoda stay return enter room name papatya mercan apart akyaka hotel heavy smell greet entered room name papatya think cigarette think smoke noticed mold ceiling bathroom room notice mold ceiling bathroom room condition let alone asthma patient impossible healthy person stay check hotel ask cancel hotel owner hotel seher lady state find condition room unhealthy state could stay unhealthy room attach photo see room price hotel try high expectation think possible stay room threaten health hotel defect bill hotel defect unfortunately room available hotel owner find unfair asked cancel hotel room defective threaten health least order endanger health others ask wait result unfortunately hotel owner advertise internal medicine specialist hotel mold aspergillus asthma unaware asthma responsibility hotel recommend make reservation,-0.969,negative,"{'positivity': 7.5, 'negativity': 6.375, 'objectivity': 105.125}",-19.0
Mercan Apart Akyaka,cleanliness room sufficient closet shelf dust wipe place belong handkerchief wipe black room light insufficient location good quiet quiet problem parking car quickly meet request additional hanger towel,0.0516,positive,"{'positivity': 1.125, 'negativity': 2.625, 'objectivity': 24.25}",-1.0
Mercan Apart Akyaka,stay overnight vacation room clean satisfied location nice walk distance place outside bazaar akyaka look another place stay thank,0.8689,positive,"{'positivity': 0.5, 'negativity': 0.125, 'objectivity': 17.375}",9.0
Mercan Apart Akyaka,kind host clean good price,0.8402,positive,"{'positivity': 0.5, 'negativity': 0.0, 'objectivity': 4.5}",7.0
Mercan Apart Akyaka,fantastic host lovely home,0.8126,positive,"{'positivity': 0.625, 'negativity': 0.0, 'objectivity': 3.375}",7.0
Mercan Apart Akyaka,gut,0.0,neutral,"{'positivity': 0.0, 'negativity': 0.0, 'objectivity': 1.0}",0.0
Mercan Apart Akyaka,room furniture little compare price say close beach far away back forth heat torture road lonely create fear also bar open evening,-0.8176,negative,"{'positivity': 0.75, 'negativity': 2.25, 'objectivity': 19.0}",-8.0
Mercan Apart Akyaka,give one menekşe room mercan apart really nice room fact even call room form flat room give clean pink flower garden armchair large refrigerator kitchen room think comfortable place problem drip sound air condition water night forget second problem internet connection apartment stay low general internet connection phone line low breakfast meal shop wish without people stay apartment next door barbecue comfortable result place go stay peace mind employee well behave people,0.8805,positive,"{'positivity': 2.375, 'negativity': 3.125, 'objectivity': 63.5}",7.0
Nehir Apart Otel,location location crowd hotel service pull car outside shore azmak center akyaka location hotel bed breakfast kept room glass plate room stay day night room clean breakfast clean give plate plate day child enough say food day say service location,0.6597,positive,"{'positivity': 0.25, 'negativity': 0.0, 'objectivity': 37.75}",4.0
Nehir Apart Otel,beautiful boutique river hotel edge azmak river akyaka familyrun clean room friendly staff price performance hotel bed breakfast breakfast breakfast breakfast buffet breakfast enough breakfast delicious enough small problem experience park akyaka general problem keep apart wish good holiday,0.9468,positive,"{'positivity': 2.5, 'negativity': 1.25, 'objectivity': 31.25}",10.0
Nehir Apart Otel,location central employee friendly business satisfy especially fall asleep fragrant sheet room happy cleanliness bathroom,0.872,positive,"{'positivity': 2.625, 'negativity': 0.125, 'objectivity': 12.25}",5.0
Nehir Apart Otel,stayed honeymoon hotel august clean hotel interested location cafe within walk distance bar want crowd want crowd right foot river nice general satisfy preferred breakfast prefer breakfast thank enough,0.9231,positive,"{'positivity': 3.0, 'negativity': 0.5, 'objectivity': 25.5}",11.0
Nehir Apart Otel,astonish read beautiful comment room full mosquito smile pattern say breakfast say cheese olive bring cheese olive say want add pay go send want go,0.765,positive,"{'positivity': 2.125, 'negativity': 0.875, 'objectivity': 22.0}",6.0
Nehir Apart Otel,super,0.5994,positive,"{'positivity': 0.0, 'negativity': 0.0, 'objectivity': 1.0}",3.0
Nehir Apart Otel,location beautiful center akyaka bank river service place park car space crowd hotel stay bed breakfast not even glass plate room stay night day room never clean give plate breakfast every day kid say enough enough meal every day location good service,0.6749,positive,"{'positivity': 1.375, 'negativity': 1.25, 'objectivity': 38.375}",8.0
Nehir Apart Otel,beautiful boutique nehir hotel edge azmak river akyaka family business clean room friendly staff perfect price performance hotel provide room breakfast service breakfast adequate delicious good buffet breakfast experience slightest problem park general problem akyaka keep separate wish happy holiday,0.9769,positive,"{'positivity': 2.875, 'negativity': 1.625, 'objectivity': 31.5}",17.0
Nehir Apart Otel,location central staff friendly satisfy establishment especially fall asleep fragrant sheet cleanliness room bathroom make happy,0.872,positive,"{'positivity': 3.125, 'negativity': 0.125, 'objectivity': 12.75}",5.0
Nehir Apart Otel,stayed honeymoon hotel august clean hotel relevant location within walk distance cafe bar not want many crowd nice right bottom river overall satisfied prefer breakfast quite sufficient thank,0.8707,positive,"{'positivity': 2.125, 'negativity': 2.375, 'objectivity': 23.5}",10.0
Verde Suites Akyaka,nice experience stay duplex house stay duplex bedroom downstairs house stay meet kitchen bathroom toilet need house stayed staff meet need house immaculate pool nice pool nice enough easy go center everything great experience thank,0.9509,positive,"{'positivity': 1.375, 'negativity': 0.5, 'objectivity': 32.125}",15.0
Verde Suites Akyaka,rent house person see detail photo rent house reverse duplex low floor damp stuffy could use bathroom large room floor water drain place opposite side slope put opposite side water overflow outside bathroom water never go bathroom say wait end season could use bathroom day corridor wall moldy dampness wall corridor moldy person bed house could sit comfortably live room mosquito net entrance door close door reason general house comfortable hope solve problem sure confirm,0.8074,positive,"{'positivity': 0.75, 'negativity': 3.75, 'objectivity': 67.5}",5.0
Verde Suites Akyaka,positive aspect location house nice far center away noise crowd center also away car pool clean house clean house clean able get immediate support problem house interested negative aspect think never deserve money give not know duplex floor apartment not know reverse duplex reverse duplex really separate apartment triplex villa downstairs completely damp downstairs incredibly cold asthma friend difficulty enter house wall understand smell internet bad electric cooker throw switch drain downstairs master bathroom make wrong place bathroom flood wall thin heard sound apartment wash machine convey detail need know,0.7884,positive,"{'positivity': 5.875, 'negativity': 6.25, 'objectivity': 77.875}",7.0
Verde Suites Akyaka,clean beautifully design hotel breakfast kitchen equipment family duplex apartment comfortable pool view beautiful way location entrance akyaka away soggy crowd nice place away soggy crowd nice place cottage atmosphere opinion moreover price hotel fantastic thank,0.9758,positive,"{'positivity': 1.5, 'negativity': 1.375, 'objectivity': 32.125}",22.0
Verde Suites Akyaka,location locate dominant hill location room locate hill facility neat tidy atmosphere clean facility make feeling home home peace mind stay day thank owner facility employee stay day,0.9042,positive,"{'positivity': 1.375, 'negativity': 0.5, 'objectivity': 26.125}",7.0
Verde Suites Akyaka,akyaka seem like beautiful peaceful place ideal relaxation stay two night find room service excellent room clean,0.9712,positive,"{'positivity': 2.75, 'negativity': 0.0, 'objectivity': 13.25}",12.0
Verde Suites Akyaka,stay verde suite night really enjoyed room clean cozy thing roof top room would not comfortable tall people everything perfectly fine pool nice clean view incredible every angle either mountain sea location good quiet highly recommend,0.9687,positive,"{'positivity': 2.625, 'negativity': 1.625, 'objectivity': 28.75}",23.0
Verde Suites Akyaka,place like dream come view stun stay apartment delux apartment modern clean exactly like picture would definitely back would recommend everyone,0.9169,positive,"{'positivity': 0.625, 'negativity': 0.25, 'objectivity': 16.125}",9.0
Verde Suites Akyaka,really excellent place beautiful modern spacious room pool area also great would definitely recommend,0.9549,positive,"{'positivity': 2.625, 'negativity': 0.125, 'objectivity': 10.25}",12.0
Verde Suites Akyaka,reality fully corresponding expectation photo previous review strongly recommend place,0.5574,positive,"{'positivity': 0.625, 'negativity': 0.125, 'objectivity': 9.25}",2.0
Petek Hotel,hotel central location close beautiful location close place price appropriate prefer stay hotel comfortable last time stay hotel disturb rude behavior receptionist uncomfortable guest guest place item leave although make explanation ask leave room knock door quickly two three interval encounter behavior ground suit well establish hotel,0.1531,positive,"{'positivity': 3.5, 'negativity': 2.5, 'objectivity': 40.0}",-1.0
Petek Hotel,rug normal manageable room clean bathroom clean hygiene suitable family stay room separate bed person person room normal variety breakfast hot one important butter jam,0.7351,positive,"{'positivity': 2.25, 'negativity': 0.0, 'objectivity': 22.75}",8.0
Petek Hotel,foot center shop need around park available problem room breakfast mediocre omelet mediocre make omelet eye egg cheddar cheese prefer due central location surroundings quiet would choose,-0.4019,negative,"{'positivity': 2.819, 'negativity': 2.306, 'objectivity': 20.875}",-2.0
Petek Hotel,late hour emergency need space staff meet need location easy reach park problematic not know private parking park street emergency,-0.6249,negative,"{'positivity': 2.25, 'negativity': 2.5, 'objectivity': 15.25}",-2.0
Petek Hotel,interest relevance service breakfast think successful price performance hotel,0.7783,positive,"{'positivity': 0.75, 'negativity': 0.0, 'objectivity': 8.25}",4.0
Petek Hotel,rude staff try make reservation night staff tell condescend way make reservation day well could would tell emergency not plan stay muğla end could not reservation beforehand insist booked room day get lectured hotel staff thank much,-0.25,negative,"{'positivity': 1.75, 'negativity': 2.875, 'objectivity': 28.375}",-2.0
Petek Hotel,lady reception unfriendly bit rude wait help almost scold ask help lose hour recommend hotel ever regularly come international friend,0.1263,positive,"{'positivity': 1.75, 'negativity': 2.25, 'objectivity': 16.0}",3.0
Petek Hotel,one best hotel stay room cozy clean service good staff people nice,0.9118,positive,"{'positivity': 0.75, 'negativity': 0.0, 'objectivity': 11.25}",11.0
Petek Hotel,warm room fantastic breakfast spread,0.6705,positive,"{'positivity': 0.625, 'negativity': 0.0, 'objectivity': 4.375}",5.0
Petek Hotel,average clean hotel less,0.4019,positive,"{'positivity': 0.125, 'negativity': 0.375, 'objectivity': 3.5}",2.0
Alp Suites Pinehill,akyaka beach distant point without car go sea without car shore cool fly insect room duplex clean large spacious living room sofa use person easily accommodate necessary item apartment kitchen laundry dishwasher breakfast food hotel breakfast apart price per night accommodation person pay cash come november end september note end september room immaculate clean tidy neat tastefully furnish new home akyaka thank yusuf bey,0.8732,positive,"{'positivity': 4.0, 'negativity': 1.125, 'objectivity': 52.875}",7.0
Alp Suites Pinehill,room clean tidy coffee cup may need dishwashing detergent coffee cup dishwashing detergent wash machine location back location difficulty find location term efficient park space end term efficient park space end pig land night scar harmless vend machine entrance door food drink beverage box way sea breakfast way sea dinner bazaar eat dinner bazaar garden pool available odor cause drain room room stay time time room stay double bed ground floor with double bed upper floor with separate bathroom balcony balcony ambience nice thank enjoy,0.9371,positive,"{'positivity': 3.0, 'negativity': 1.875, 'objectivity': 78.125}",7.0
Alp Suites Pinehill,stayed room room opposite duplex room semi basement floor room kitchen ground floor situation may bore cool room long term stay frankly problem go situation problem apart item everything photo room clean parking problem far center can not go beach without car creates problem general satisfy,-0.6822,negative,"{'positivity': 2.0, 'negativity': 4.0, 'objectivity': 38.0}",-7.0
Alp Suites Pinehill,coincidentally accommodation find internet decide go immediately help send location stay numbered room wife son weekend satisfy room photo item modern bed comfortable air condition use weather good comment air condition far understood general situation would satisfy air condition pool small pleasant enjoy thought would go recommend environment peace mind want quiet quiet holiday care cleanliness comfort definitely choose place,0.9889,positive,"{'positivity': 5.5, 'negativity': 2.125, 'objectivity': 50.375}",21.0
Alp Suites Pinehill,apartment stay reverse duplex stay two family family easily stay one bedroom one bathroom house clean furniture almost new brought request immediately small trouble bring request immediately small trouble air zero forest nice humidity free cool night satisfy view problem,0.8126,positive,"{'positivity': 1.625, 'negativity': 2.5, 'objectivity': 35.875}",1.0
Alp Suites Pinehill,lovely apart hotel short walk middle village longer walk bar sea side great room clean tidy helpful staff onside park excellent double glaze bring ear plug morning may date cooking pot,0.9524,positive,"{'positivity': 2.125, 'negativity': 0.0, 'objectivity': 28.875}",13.0
Alp Suites Pinehill,although size design room good staff behavior lack cater product complete disappointment also bad room basement despite negativity enjoyable stay,-0.7099,negative,"{'positivity': 1.625, 'negativity': 3.25, 'objectivity': 14.125}",-4.0
Alp Suites Pinehill,alp suite pinehill perfect quiet relax spot holiday unexpectedly extend stay manager yunus could helpful yunus extremely helpful many request always available help smile room comfortable kitchenette need,0.9723,positive,"{'positivity': 2.75, 'negativity': 1.125, 'objectivity': 20.125}",14.0
Alp Suites Pinehill,hotel great get different room great bite kitchen cafe delicious cheesecake yunus help lot time like clean room get wonderful time,0.9735,positive,"{'positivity': 2.0, 'negativity': 0.0, 'objectivity': 18.0}",19.0
Alp Suites Pinehill,stay tiny house alp suite week view amazing staff good good service help everything need great vacation amaze place fantastic people recommend heart sure back,0.9805,positive,"{'positivity': 2.75, 'negativity': 1.375, 'objectivity': 19.875}",23.0
Teras Tepe Apart,view hotel beautiful management really bad stay week give clean towel day room clean find call phone sea water flow tap summer can not brush teeth washed take shower confirm call phone child child want communicate similar problem operator report back operator receive response neighborhood dialect especially notice answer operator especially short woman stay overnight stay overnight find room second room clean day give clean towel answer say salt water flow faucet brush teeth need buy water exorbitant price business want call want ask answer question comment others express comment dog say dog attack anyone connect accordance dog business legislation say attack anyone prefer lie truth dog monthly dog hotel operator can not leave stray dog hotel garden regardless age dog hotel operator can not leave stray dog hotel garden regardless age dog,0.6708,positive,"{'positivity': 5.75, 'negativity': 7.25, 'objectivity': 117.0}",5.0
Teras Tepe Apart,although short stay wife satisfy sweet family business intertwine nature rest soul wonderful sea view employee friendly sweet bad thing approach hotel difficulty get stabilize road hotel owner say road make want quiet relax holiday without think,0.9423,positive,"{'positivity': 2.5, 'negativity': 1.75, 'objectivity': 30.75}",8.0
Teras Tepe Apart,akyaka center feast sacrifice center akyaka alternative prefer apart cute family business location akyaka center car minute curve departure road approach hotel main road forest road stony road enter road meter vehicle suitable terrain may bore learned situation relate business feature hotel learn friendly family business ready help matter size room kitchen content relatively sufficient balcony view nice fountain water flow salty recommend take drinking water wifi breakfast form village breakfast delicious enough satisfying recommend,0.9719,positive,"{'positivity': 3.875, 'negativity': 2.25, 'objectivity': 65.875}",17.0
Teras Tepe Apart,come honeymoon come peaceful place intertwine forest place sea view pleasant breakfast sea view return without eat nilüfer sister meatball bread extremely delicious love honest sincere hospitality operator location high dirt road compel clean hygiene average,0.9703,positive,"{'positivity': 4.75, 'negativity': 0.125, 'objectivity': 29.125}",15.0
Teras Tepe Apart,management business extremely bad big deficiency cleaning room clean sufficiently salt water flow tap take shower salt water leave sea impossible road vehicle reach hotel road steep soil dog roam freely hotel complain operator encounter disrespectful answer example tell tie dog answer whether cut dog,-0.4391,negative,"{'positivity': 2.5, 'negativity': 2.75, 'objectivity': 38.75}",-5.0
Teras Tepe Apart,road place unpaved poor want visit car service stay place stay din table terrace full dirt uncleaned also handful dust top refrigerator may see photo view main patio see hang wash clothes sock underwear pant dry understand level professionalism call hotel,-0.5267,negative,"{'positivity': 0.375, 'negativity': 1.625, 'objectivity': 38.0}",-1.0
Teras Tepe Apart,view hotel nice management really bad stay less week give clean towel room clean day find call summer sea water flow tap can not brush teeth washed take shower also confirm call child dangerous dog ban breed tie place without muzzle business yard want report similar problem manager give feedback receive response neighborhood especially short woman manager response business notice say stay two night clean room second day give clean towel response say salt water flow tap brush teeth buy water business exorbitant price call ask want not answer thats obvious others already mentioned comment say dog dog keep accordance business regulation attack anyone instead choose lie honest dog dog hotel operator leave stray dog hotel garden regardless age dog friend instead apologize put manipulate comment try respond,0.372,positive,"{'positivity': 4.0, 'negativity': 7.625, 'objectivity': 112.375}",4.0
Teras Tepe Apart,even though short stay wife please sweet family business rest soul wonderful sea view surround nature staff friendly sweet bad thing stabilize road approach hotel difficulty get hotel owner say road build want quiet relax holiday without think,0.9349,positive,"{'positivity': 2.125, 'negativity': 1.75, 'objectivity': 33.125}",9.0
Teras Tepe Apart,apartment choose alternative center akyaka cute family business location minute drive center akyaka wind one way road approach hotel enter stony road meter main road forest road vehicle suitable terrain may get bore learned situation nothing business feature hotel friendly family business ready help every way size room kitchen content relatively sufficient balcony view nice since tap water salty recommend take drinking water wifi breakfast village breakfast delicious satisfy enough recommend,0.9716,positive,"{'positivity': 2.75, 'negativity': 2.25, 'objectivity': 63.0}",16.0
Teras Tepe Apart,come honeymoon peaceful place surround forest breakfast enjoyable sea view not leave without eat nilüfer sister meatball bread extremely delicious operator honest sincere love hospitality location high altitude dirt road bit challenging average term cleanliness hygiene,0.9633,positive,"{'positivity': 5.0, 'negativity': 1.0, 'objectivity': 28.0}",11.0
APART 48,stay overnight kitchen utensil pan extremely oil layer form trash throw away degree room woodworm think swell itch everywhere itch pass itch pass itch hygiene save car room location take care,0.7506,positive,"{'positivity': 1.625, 'negativity': 3.0, 'objectivity': 26.375}",4.0
APART 48,stay night need clean furniture bathroom need maintenance carpet location lag behind term distance sea problem car nice recommend,0.4404,positive,"{'positivity': 0.75, 'negativity': 1.0, 'objectivity': 17.25}",4.0
APART 48,welcome polite hospitality location opposite point center transportation difficult car view room beautiful room tire need maintenance sheet cover clean room could clean price performance,0.8689,positive,"{'positivity': 2.5, 'negativity': 0.875, 'objectivity': 20.625}",10.0
APART 48,clean spacious apartment comfort home cause noise fly complaint overlook akyaka top,0.5859,positive,"{'positivity': 1.0, 'negativity': 1.25, 'objectivity': 8.75}",5.0
APART 48,view bad except owner apartment pan pot kitchen clean bad everywhere fall apart,-0.6486,negative,"{'positivity': 0.875, 'negativity': 1.75, 'objectivity': 10.375}",-4.0
APART 48,super,0.5994,positive,"{'positivity': 0.0, 'negativity': 0.0, 'objectivity': 1.0}",3.0
APART 48,stay night kitchen utensil pan layer oil throw away think woodworm room swell itchy leave itching go away hygiene room rescue car care must take,0.6369,positive,"{'positivity': 1.125, 'negativity': 1.0, 'objectivity': 22.875}",1.0
APART 48,stay night everything need clean furnishing bit bathroom need maintenance carpet location little behind term distance sea problem car nice recommend,0.6486,positive,"{'positivity': 0.75, 'negativity': 1.875, 'objectivity': 17.375}",5.0
APART 48,greet politely hospitably place little opposite center car transportation difficult view room nice room bit tired need maintenance sheet cover clean room could better price performance,0.6486,positive,"{'positivity': 1.625, 'negativity': 1.25, 'objectivity': 22.125}",5.0
APART 48,clean spacious apartment comfort home overlook akyaka without noise fly complaint,0.7259,positive,"{'positivity': 1.0, 'negativity': 1.25, 'objectivity': 6.75}",3.0
Santo Akyaka Home,bad accommodation ever see doubt cleanliness point sleep lay towel bring home fearing would get germ enter pool air condition bad ventilation smell dampness mini shampoo conditioner dryer late shower hot water flow terrible place shower cabin use sleep one night care first would pay money sleep car would sleep comfortably,-0.8934,negative,"{'positivity': 1.125, 'negativity': 3.125, 'objectivity': 43.75}",-9.0
Santo Akyaka Home,stay night saw apartment stay night bathroom trouble shower cabin damp stuffy unfortunately remind bathroom grandmother house ago short satisfy short let state stay terrace floor last floor like room different lady take care room noble person passenger leave apartment leave apartment saw passenger smile face thank thank lady business worthy,0.9393,positive,"{'positivity': 2.0, 'negativity': 1.375, 'objectivity': 47.625}",10.0
Santo Akyaka Home,read first comment go fear pleasant vacation without problem depend want want place price performance want clean place small pool clean place stay roof floor view great air condition work smoothly importantly summer heat calm environment nice thank,0.9589,positive,"{'positivity': 1.5, 'negativity': 2.375, 'objectivity': 33.125}",16.0
Santo Akyaka Home,stay overnight comfortable room smell dampness open window mosquito net torn could open receive room satisfy cleanliness room except many fly room except bed linen satisfy cleanliness room except location good satisfy,0.9217,positive,"{'positivity': 3.0, 'negativity': 1.0, 'objectivity': 27.0}",3.0
Santo Akyaka Home,amateurishly run hotel manage employee exhibit attitude behavior put customer suspicion stay free room neglect item use room room damp know animal say pet friendly leave animal room per se drag heat summer state drag heat summer good thing akyaka excellent view,0.6705,positive,"{'positivity': 3.0, 'negativity': 1.0, 'objectivity': 36.0}",4.0
Santo Akyaka Home,clean elegant,0.7003,positive,"{'positivity': 0.5, 'negativity': 0.0, 'objectivity': 1.5}",4.0
Santo Akyaka Home,bad accommodation ever see even point much doubt cleanliness laid towel bring home go sleep not go pool fear catch germ air condition bad ventilation smell damp mini shampoo conditioner dry provide hot water late shower terrible place not even shower cabin use one night sleep not care first wish sleep car would not spend money nothing would sleep comfortably,-0.945,negative,"{'positivity': 2.0, 'negativity': 6.75, 'objectivity': 49.25}",-7.0
Santo Akyaka Home,stay night saw apartment stay night bathroom difficult shower cabin damp stuffy unfortunately remind bathroom grandmother house ago short satisfy however let also point stayed terrace floor last floor thats maybe room different good thing lady take care noble person saw left apartment farewell smile thank much good business would suit lady,0.9337,positive,"{'positivity': 2.625, 'negativity': 2.5, 'objectivity': 44.875}",13.0
Santo Akyaka Home,read first comment scar enjoyable holiday without problem depend want want price performance affordable clean place small pool also stay rooftop view great air condition work smoothly important thing summer heat opinion calm environment nice thank everything,0.9666,positive,"{'positivity': 2.25, 'negativity': 2.0, 'objectivity': 30.75}",16.0
Santo Akyaka Home,stayed one night comfortable room smell damp open window fly screen torn could open received room already fly inside apart linen satisfied cleanliness room location nice apart satisfy,0.872,positive,"{'positivity': 3.0, 'negativity': 1.25, 'objectivity': 22.75}",5.0
Mevsim Apart,family akyaka beautiful apartment noise silence dominate concept ula house build concept apartment lemon tangerine tree apartment inside apartment scuba stave pan glass wash machine household utensil family convenient pleasant nearby chain grocery store affordable shopping opportunity eat restaurant suitable pizza wrap yoğurt mixed fry goat milk ice cream sarıyer börekçisi kokoreç beautiful public market establish wednesday must visit walk distance beach azmak river walk distance morning noon without crowd beach even azmak river recommend beach afternoon beach get crowd beach give height stone sand beach blue flag beach shower beach possibility municipality umbrella sunbeds want sit sand want beach suitable child azmak tour boat gökova boat tour enjoyable morning sunrise forest side possibility walk season hotel apart owner murat mehmet bey thank,0.9678,positive,"{'positivity': 5.125, 'negativity': 1.25, 'objectivity': 102.625}",25.0
Mevsim Apart,beautiful apart sea walk place go foot azmak boat tour fishing foot,0.5994,positive,"{'positivity': 1.25, 'negativity': 0.0, 'objectivity': 9.75}",3.0
Mevsim Apart,go nice apartment sea walk sea try,0.4215,positive,"{'positivity': 0.0, 'negativity': 0.0, 'objectivity': 7.0}",3.0
